icd_code,icd_description
D50.9,"Iron deficiency anemia, unspecified"
D69.6,"Thrombocytopenia, unspecified"
E03.8,Other specified hypothyroidism
E55.9,"Vitamin D deficiency, unspecified"
E86.0,Dehydration
F10.20,"Alcohol dependence, uncomplicated"
F31.9,"Bipolar disorder, unspecified"
F43.10,"Post-traumatic stress disorder, unspecified"
F90.9,"Attention-deficit hyperactivity disorder, unspecified type"
G40.909,"Epilepsy, unspecified, not intractable, without status epilepticus"
G89.29,Other chronic pain
H25.9,Unspecified age-related cataract
H40.9,Unspecified glaucoma
H61.20,"Impacted cerumen, unspecified ear"
I63.9,"Cerebral infarction, unspecified"
I73.9,"Peripheral vascular disease, unspecified"
I80.219,Phlebitis and thrombophlebitis of unspecified deep vessels of left lower extremity
I95.9,"Hypotension, unspecified"
J30.9,"Allergic rhinitis, unspecified"
J32.9,"Chronic sinusitis, unspecified"
J34.89,Other specified disorders of nose and nasal sinuses
J93.9,"Pneumothorax, unspecified"
K21.00,Gastro-esophageal reflux disease with esophagitis
K57.30,Diverticulosis of large intestine without perforation or abscess without bleeding
K58.9,Irritable bowel syndrome without diarrhea
K76.0,"Fatty (change of) liver, not elsewhere classified"
L02.91,"Cutaneous abscess, unspecified"
L40.9,"Psoriasis, unspecified"
L50.9,"Urticaria, unspecified"
L57.0,Actinic keratosis
M06.9,"Rheumatoid arthritis, unspecified"
M10.9,"Gout, unspecified"
M47.812,"Spondylosis without myelopathy or radiculopathy, cervical region"
M48.06,"Spinal stenosis, lumbar region"
M53.1,Cervicobrachial syndrome
M62.830,Muscle spasm of back
M65.9,"Synovitis and tenosynovitis, unspecified"
M75.100,"Unspecified rotator cuff tear or rupture of right shoulder, not specified as traumatic"
N18.30,"Chronic kidney disease, stage 3 unspecified"
N20.0,Calculus of kidney
N30.00,Acute cystitis without hematuria
N92.6,"Irregular menstruation, unspecified"
N95.1,Menopausal and female climacteric states
O09.90,"Supervision of high risk pregnancy, unspecified, unspecified trimester"
O26.90,"Pregnancy related conditions, unspecified, unspecified trimester"
P59.9,"Neonatal jaundice, unspecified"
Q21.10,"Atrial septal defect, unspecified"
R00.2,Palpitations
R09.02,Hypoxemia
R23.4,Changes in skin texture
R30.0,Dysuria
R31.9,"Hematuria, unspecified"
R33.9,"Retention of urine, unspecified"
R34,Anuria and oliguria
R56.9,Unspecified convulsions
R63.4,Abnormal weight loss
S52.501A,"Unspecified fracture of the lower end of right radius, initial encounter"
S82.891A,"Other fracture of right lower leg, initial encounter"
T50.905A,"Poisoning by unspecified drugs, accidental, initial encounter"
Z79.01,Long term (current) use of anticoagulants
Z79.84,Long term (current) use of oral hypoglycemic drugs
Z88.0,Allergy status to penicillin
